real,imag,np,sw,time
0.532847777,1.1750589,4096.0,10000.0,977.2385836385837
0.924478285,0.362986063,4096.0,10000.0,978.2388278388279
1.16977926,0.904113514,4096.0,10000.0,979.2390720390722
0.684773478,0.817795601,4096.0,10000.0,980.2393162393164
1.44485445,0.519466968,4096.0,10000.0,981.2395604395606
2.12823989,2.18891227,4096.0,10000.0,982.2398046398047
0.231167227,3.88940592,4096.0,10000.0,983.2400488400489
-2.10646145,2.88123524,4096.0,10000.0,984.2402930402931
-2.24927791,1.1575287,4096.0,10000.0,985.2405372405374
-1.94184722,0.779711358,4096.0,10000.0,986.2407814407816
-2.30992437,0.0744572222,4096.0,10000.0,987.2410256410258
-1.45332246,-1.06599111,4096.0,10000.0,988.2412698412699
-0.0954988396,-0.305227084,4096.0,10000.0,989.241514041514
-1.01934149,1.12348709,4096.0,10000.0,990.2417582417584
-2.80514314,0.176301585,4096.0,10000.0,991.2420024420026
-2.48382689,-1.77553509,4096.0,10000.0,992.2422466422468
-1.31271587,-2.25347567,4096.0,10000.0,993.242490842491
-0.919948171,-2.55638131,4096.0,10000.0,994.2427350427351
0.344855258,-3.33219263,4096.0,10000.0,995.2429792429792
2.3281562,-2.31643894,4096.0,10000.0,996.2432234432235
2.13867991,-0.0908487514,4096.0,10000.0,997.2434676434677
0.447483742,0.102741487,4096.0,10000.0,998.2437118437119
0.419163818,-1.11466803,4096.0,10000.0,999.2439560439561
1.41002014,-1.05565686,4096.0,10000.0,1000.2442002442003
1.47209847,-0.593217784,4096.0,10000.0,1001.2444444444444
1.9616599,-0.858889007,4096.0,10000.0,1002.2446886446887
3.3257928,0.191141124,4096.0,10000.0,1003.2449328449329
2.80775938,2.62327953,4096.0,10000.0,1004.2451770451771
0.397289887,3.21297083,4096.0,10000.0,1005.2454212454213
-0.668597993,1.86404475,4096.0,10000.0,1006.2456654456656
-0.343438986,1.37142494,4096.0,10000.0,1007.2459096459098
-0.734032686,1.41659729,4096.0,10000.0,1008.2461538461539
-0.861410434,0.562855291,4096.0,10000.0,1009.2463980463981
